DATE,OHLC_OPEN,OHLC_HIGH,OHLC_LOW,OHLC_CLOSE,VOLUME,5D_MAVG,10D_MAVG
2016-01-15,96.2,97.71,95.36,97.13,79010008,98.472,100.283
2016-01-14,97.96,100.48,95.74,99.52,62424154,97.858,101.063
2016-01-13,100.32,101.19,97.3,97.39,61745031,98.52,102.198
2016-01-12,100.55,100.69,98.84,99.96,49154227,99.07,102.884
2016-01-11,98.97,99.06,97.34,98.53,49739377,100.434,103.834
2016-01-08,98.55,99.11,96.76,96.96,70798016,102.094,104.999
2016-01-07,98.68,100.13,96.43,96.45,81094428,104.268,106.077
2016-01-06,100.56,102.37,99.87,100.7,68457388,105.876,106.74
2016-01-05,105.75,105.85,102.41,102.71,55790992,106.698,107.072
2016-01-04,102.61,105.37,102,105.35,67281190,107.234,107.435
2015-12-31,107.01,107.03,104.82,105.26,40912316,107.904,108.043
2015-12-30,108.58,108.7,107.18,107.32,25213777,107.886,108.36
2015-12-29,106.96,109.43,106.86,108.74,30931243,107.604,108.734
2015-12-28,107.59,107.69,106.18,106.82,26704210,107.446,109.37
2015-12-24,109,109,107.95,108.03,13596680,107.636,110.184
2015-12-23,107.27,108.85,107.2,108.61,32657354,108.182,110.885
2015-12-22,107.4,107.72,106.45,107.23,32789367,108.834,111.985
2015-12-21,107.28,107.37,105.57,107.33,47590610,109.864,113.08
2015-12-18,108.91,109.52,105.81,106.03,96453327,111.294,114.38
2015-12-17,112.02,112.25,108.98,108.98,44772827,112.732,115.002
2015-12-16,111.07,111.99,108.8,111.34,56238467,113.588,115.496
2015-12-15,111.94,112.8,110.35,110.49,53323105,115.136,116.181
2015-12-14,112.18,112.68,109.79,112.48,64318732,116.296,116.763
2015-12-11,115.19,115.39,112.85,113.18,46886161,117.466,117.226
2015-12-10,116.04,116.94,115.51,116.17,29212727,117.272,117.412
2015-12-09,115.3,117.69,115.08,115.62,46361357,117.404,117.738
2015-12-08,117.52,118.6,116.86,118.23,34309450,117.226,117.69
2015-12-07,118.32,119.86,117.81,118.28,32084249,117.23,117.792
2015-12-04,115.29,119.25,115.11,119.03,57776977,116.986,117.767
2015-12-03,115.24,116.79,114.22,115.2,41569509,117.552,117.976
2015-12-02,117.34,118.11,116.08,116.28,33386563,118.072,117.717
2015-12-01,118.75,118.81,116.86,117.34,34852374,118.154,117.401
2015-11-30,118.49,119.41,117.75,118.3,39180322,118.354,116.805
2015-11-27,118.29,118.41,117.6,117.81,13046445,118.548,116.596
2015-11-25,119.21,119.23,117.92,118.03,21388308,118.4,116.404
2015-11-24,117.33,119.35,117.12,118.88,42803172,117.362,116.193
2015-11-23,119.27,119.73,117.34,117.75,32482528,116.648,116.475
2015-11-20,119.2,119.92,118.85,119.3,34287096,115.256,116.651
2015-11-19,117.64,119.75,116.76,118.78,43295820,114.644,116.865
2015-11-18,115.76,117.49,115.5,117.29,46674697,114.408,117.336
2015-11-17,114.92,115.05,113.32,113.69,27616939,115.024,118.224
2015-11-16,111.38,114.24,111,114.18,38106701,116.302,118.924
2015-11-13,115.2,115.57,112.27,112.34,45812403,118.046,119.64
2015-11-12,116.26,116.82,115.65,115.72,32525579,119.086,120.121
2015-11-11,116.37,117.42,115.21,116.11,45217971,120.264,120.437
2015-11-10,116.9,118.07,116.06,116.77,59127931,121.424,120.215
2015-11-09,120.96,121.81,120.05,120.57,33871405,121.546,119.686
2015-11-06,121.08,121.81,120.62,121.06,33042283,121.234,119.488
2015-11-05,121.85,122.69,120.18,120.92,39552680,121.156,118.946
2015-11-04,122.56,123.82,121.62,122,44886050,120.61,118.122
2015-11-03,120.79,123.49,120.7,122.57,45518976,119.006,117.242
2015-11-02,120.8,121.36,119.61,121.18,32203267,117.826,116.297
2015-10-30,120.99,121.22,119.45,119.5,49365254,117.742,115.451
2015-10-29,118.7,120.69,118.27,120.53,51227334,116.736,114.584
2015-10-28,117.58,119.3,116.06,119.27,85551352,115.634,113.678
2015-10-27,115.4,116.54,113.99,114.55,69884400,115.478,113.402
2015-10-26,118.08,118.13,114.92,115.28,66333781,114.768,113.034
2015-10-23,118.77,119.23,116.33,119.08,59366914,113.16,112.338
2015-10-22,114.33,115.5,114.1,115.5,41654089,112.432,111.738
2015-10-21,114,115.58,113.7,113.76,42326974,111.722,111.44
2015-10-20,111.34,114.17,110.82,113.77,48967763,111.326,111.194
2015-10-19,110.8,111.75,110.11,111.73,29759153,111.3,111.099
2015-10-16,111.78,112,110.53,111.04,39232609,111.516,111.033
2015-10-15,110.93,112.1,110.49,111.86,37673452,111.044,110.805
2015-10-14,111.29,111.52,109.56,110.21,44462449,111.158,110.814
2015-10-13,110.82,112.45,110.68,111.79,33049256,111.062,110.541
2015-10-12,112.73,112.75,111.44,111.6,30467204,110.898,110.625
2015-10-09,111.64,112.28,109.49,112.12,52766140,110.55,110.884
2015-10-08,110.06,110.19,108.21,109.5,61979577,110.566,111.434
2015-10-07,110.47,111.77,109.41,110.78,46765550,110.47,111.788
2015-10-06,110.63,111.74,109.76,111.31,48196751,110.02,111.997
